,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song name
119,0.592,0.0195,1,-33.35,1,0.0369,0.361,0.839,0.108,0.0313,119.504,audio_features,574y1r7o2tRA009FW0LE7v,spotify:track:574y1r7o2tRA009FW0LE7v,https://api.spotify.com/v1/tracks/574y1r7o2tRA009FW0LE7v,https://api.spotify.com/v1/audio-analysis/574y1r7o2tRA009FW0LE7v,65314,4,pink floyd,Speak to Me
120,0.381,0.341,7,-15.719,1,0.0414,0.161,0.0403,0.448,0.178,143.756,audio_features,7AalBKBoLDR4UmRYRJpdbj,spotify:track:7AalBKBoLDR4UmRYRJpdbj,https://api.spotify.com/v1/tracks/7AalBKBoLDR4UmRYRJpdbj,https://api.spotify.com/v1/audio-analysis/7AalBKBoLDR4UmRYRJpdbj,367933,4,pink floyd,Fearless
121,0.717,0.499,9,-15.449,1,0.0354,0.0233,0.445,0.86,0.419,116.974,audio_features,0EaLRxrtnq7Mqhdf8q9txr,spotify:track:0EaLRxrtnq7Mqhdf8q9txr,https://api.spotify.com/v1/tracks/0EaLRxrtnq7Mqhdf8q9txr,https://api.spotify.com/v1/audio-analysis/0EaLRxrtnq7Mqhdf8q9txr,263573,4,pink floyd,Run Like Hell
122,0.638,0.0811,7,-22.646,1,0.0335,0.879,0.00313,0.314,0.0503,109.154,audio_features,0ESdtt9cjGZUkUbaubSrv2,spotify:track:0ESdtt9cjGZUkUbaubSrv2,https://api.spotify.com/v1/tracks/0ESdtt9cjGZUkUbaubSrv2,https://api.spotify.com/v1/audio-analysis/0ESdtt9cjGZUkUbaubSrv2,167240,4,pink floyd,Goodbye Blue Sky
123,0.442,0.56,0,-13.681,1,0.0361,0.252,0.0322,0.151,0.475,166.585,audio_features,3ieDOGcOqVxScs2VZBzidt,spotify:track:3ieDOGcOqVxScs2VZBzidt,https://api.spotify.com/v1/tracks/3ieDOGcOqVxScs2VZBzidt,https://api.spotify.com/v1/audio-analysis/3ieDOGcOqVxScs2VZBzidt,292080,4,pink floyd,Learning to Fly
124,0.321,0.479,2,-11.395,0,0.05,0.076,0.00475,0.151,0.14,109.289,audio_features,2jvuMDqBK04WvCYYz5qjvG,spotify:track:2jvuMDqBK04WvCYYz5qjvG,https://api.spotify.com/v1/tracks/2jvuMDqBK04WvCYYz5qjvG,https://api.spotify.com/v1/audio-analysis/2jvuMDqBK04WvCYYz5qjvG,1025280,4,pink floyd,Dogs
125,0.74,0.231,9,-18.91,0,0.0415,0.551,0.747,0.249,0.546,103.994,audio_features,2O3l4X1yTua8oMMCtazkyo,spotify:track:2O3l4X1yTua8oMMCtazkyo,https://api.spotify.com/v1/tracks/2O3l4X1yTua8oMMCtazkyo,https://api.spotify.com/v1/audio-analysis/2O3l4X1yTua8oMMCtazkyo,110826,4,pink floyd,The Happiest Days of Our Lives
126,0.316,0.49,9,-14.578,1,0.0391,0.416,0.367,0.0537,0.267,152.1,audio_features,24YmWQgunJGAU8El3ndkyn,spotify:track:24YmWQgunJGAU8El3ndkyn,https://api.spotify.com/v1/tracks/24YmWQgunJGAU8El3ndkyn,https://api.spotify.com/v1/audio-analysis/24YmWQgunJGAU8El3ndkyn,198222,3,pink floyd,In the Flesh?
127,0.288,0.485,7,-13.162,0,0.0491,0.576,0.9,0.322,0.124,135.87,audio_features,21j1PsCiTaO8ZW88UZrh3A,spotify:track:21j1PsCiTaO8ZW88UZrh3A,https://api.spotify.com/v1/tracks/21j1PsCiTaO8ZW88UZrh3A,https://api.spotify.com/v1/audio-analysis/21j1PsCiTaO8ZW88UZrh3A,747325,3,pink floyd,Shine On You Crazy Diamond (Pts. 6-9)
128,0.519,0.413,0,-12.535,0,0.0251,0.205,0.152,0.351,0.267,75.219,audio_features,5a4MgIUSf9K8wXLSm6xPEx,spotify:track:5a4MgIUSf9K8wXLSm6xPEx,https://api.spotify.com/v1/tracks/5a4MgIUSf9K8wXLSm6xPEx,https://api.spotify.com/v1/audio-analysis/5a4MgIUSf9K8wXLSm6xPEx,510965,4,pink floyd,High Hopes
129,0.285,0.322,6,-16.58,0,0.0445,0.367,0.649,0.107,0.138,133.577,audio_features,7kriFJLY2KOhw5en9iI2jb,spotify:track:7kriFJLY2KOhw5en9iI2jb,https://api.spotify.com/v1/tracks/7kriFJLY2KOhw5en9iI2jb,https://api.spotify.com/v1/audio-analysis/7kriFJLY2KOhw5en9iI2jb,1412451,4,pink floyd,Echoes
130,0.419,0.575,4,-12.22,0,0.0897,0.103,0.459,0.895,0.354,129.267,audio_features,0gEaeqVRHPzRc7HMXtOKc7,spotify:track:0gEaeqVRHPzRc7HMXtOKc7,https://api.spotify.com/v1/tracks/0gEaeqVRHPzRc7HMXtOKc7,https://api.spotify.com/v1/audio-analysis/0gEaeqVRHPzRc7HMXtOKc7,685880,4,pink floyd,Pigs (Three Different Ones)
131,0.406,0.128,9,-16.983,0,0.0349,0.359,0.0019,0.656,0.191,110.272,audio_features,62zuXt6X5B6YQOBNFV2eXG,spotify:track:62zuXt6X5B6YQOBNFV2eXG,https://api.spotify.com/v1/tracks/62zuXt6X5B6YQOBNFV2eXG,https://api.spotify.com/v1/audio-analysis/62zuXt6X5B6YQOBNFV2eXG,146321,5,pink floyd,The Thin Ice
132,0.664,0.171,7,-20.731,1,0.0452,0.3,0.001,0.264,0.378,128.631,audio_features,19tHmIQsRnebkyK09m2UXE,spotify:track:19tHmIQsRnebkyK09m2UXE,https://api.spotify.com/v1/tracks/19tHmIQsRnebkyK09m2UXE,https://api.spotify.com/v1/audio-analysis/19tHmIQsRnebkyK09m2UXE,84280,3,pink floyd,Pigs on the Wing 1
133,0.307,0.0742,9,-27.159,0,0.0359,0.72,0.315,0.11,0.0394,118.682,audio_features,5HAjss9faCAowGY8dM24r6,spotify:track:5HAjss9faCAowGY8dM24r6,https://api.spotify.com/v1/tracks/5HAjss9faCAowGY8dM24r6,https://api.spotify.com/v1/audio-analysis/5HAjss9faCAowGY8dM24r6,161595,4,pink floyd,Is There Anybody Out There?
